model,type,epochs,final_train_loss,test_loss,test_accuracy,test_precision,test_recall,test_f1,model_path
distilbert,base,1,0.47303197973844957,0.35401325399170114,0.8486,0.8487070357641107,0.8486,0.8485883810357486,trained_models/sentiment_imdb/distilbert_base_e1_lr0.0005/20240921_060126_base.pth
distilbert,ate,1,0.41657375664961754,0.35079046734133545,0.84612,0.8548899845149356,0.84612,0.8451634258382918,trained_models/sentiment_imdb/distilbert_ate_e1_lr0.0005/20240921_122230_ate.pth
distilbert,base,2,0.3698940024692185,0.3357942843315553,0.85628,0.8567040749162272,0.85628,0.8562372711867727,trained_models/sentiment_imdb/distilbert_base_e2_lr0.0005/20240921_124402_base.pth
distilbert,ate,2,0.4043437579949928,0.33353038755606634,0.85328,0.8576006767048632,0.85328,0.8528354745991109,trained_models/sentiment_imdb/distilbert_ate_e2_lr0.0005/20240921_220512_ate.pth
distilbert,base,5,0.35083220929515607,0.3173193165234157,0.8658,0.8659405797331102,0.8658,0.865787110194063,trained_models/sentiment_imdb/distilbert_base_e5_lr0.0005/20240921_224144_base.pth
distilbert,ate,5,0.38525164373835225,0.32891191390095925,0.85792,0.8608375907329913,0.85792,0.8576322175367403,trained_models/sentiment_imdb/distilbert_ate_e5_lr0.0005/20240922_115008_ate.pth
