model,type,epochs,final_train_loss,test_loss,test_accuracy,test_precision,test_recall,test_f1,model_path
bert,base,1,0.45344244065333383,0.3559094007526125,0.8456,0.8487287519571433,0.8456,0.8452529069746558,trained_models/sentiment_imdb/bert_base_e1_lr0.0005/20240921_110645_base.pth
bert,ate,1,0.41094256462716655,0.36941098056885663,0.83032,0.8434270762438252,0.83032,0.8286854221015766,trained_models/sentiment_imdb/bert_ate_e1_lr0.0005/20240921_233119_ate.pth
bert,base,2,0.38081558869809523,0.33379202792230916,0.85668,0.8567112513300444,0.85668,0.8566768608792779,trained_models/sentiment_imdb/bert_base_e2_lr0.0005/20240921_235935_base.pth
bert,ate,2,0.39533300501658547,0.33455606337104526,0.85128,0.8538827287665591,0.85128,0.8510060456505036,trained_models/sentiment_imdb/bert_ate_e2_lr0.0005/20240922_132500_ate.pth
bert,base,5,0.36930218764713835,0.33033728888448405,0.858,0.861914466873706,0.858,0.8576149909354894,trained_models/sentiment_imdb/bert_base_e5_lr0.0005/20240922_141058_base.pth
bert,ate,5,0.38245927749328246,0.320265636000098,0.8608,0.8609375281707339,0.8608,0.8607867388788575,trained_models/sentiment_imdb/bert_ate_e5_lr0.0005/20240923_062228_ate.pth
